Player,Pos,Squad,Comp,npxG,-9999
Mohamed Bayo,FW,Clermont Foot,fr Ligue 1,11.6,01870104
Andrej Kramarić,FWMF,Hoffenheim,de Bundesliga,11.5,603cb947
Victor Osimhen,FW,Napoli,it Serie A,11.5,8c90fd7a
Ollie Watkins,FW,Aston Villa,eng Premier League,11.4,aed3a70f
Duván Zapata,FW,Atalanta,it Serie A,11.4,d3de9af0
Wissam Ben Yedder,FW,Monaco,fr Ligue 1,11.2,942b4f90
Jarrod Bowen,FW,West Ham,eng Premier League,11.1,79c84d1c
Iago Aspas,FW,Celta Vigo,es La Liga,11.0,7dcf86f6
Michail Antonio,FW,West Ham,eng Premier League,10.8,ac05f970
Marco Reus,MFFW,Dortmund,de Bundesliga,10.8,36a3ff67
Karl Toko Ekambi,FW,Lyon,fr Ligue 1,10.8,5ceba7fc
Raúl de Tomás,FW,Espanyol,es La Liga,10.8,02ef8778
Beto,FW,Udinese,it Serie A,10.6,ed5c0319
José Luis Morales,FWMF,Levante,es La Liga,10.6,4a478107
Terem Moffi,FW,Lorient,fr Ligue 1,10.5,065dc209
Steve Mounié,FW,Brest,fr Ligue 1,10.3,19ba6c6d
André Silva,FW,RB Leipzig,de Bundesliga,10.3,3effaa34
Arnaut Groeneveld,FW,Villarreal,es La Liga,10.2,f08490a6
Luis Javier Suárez,FW,Granada,es La Liga,10.1,eeba07f8
Lucas Paquetá,MFFW,Lyon,fr Ligue 1,10.1,9b6f7fd5
Lionel Messi,FWMF,Paris S-G,fr Ligue 1,10.0,d70ce98e
Thomas Müller,MF,Bayern Munich,de Bundesliga,10.0,3c6089ab
Lukas Nmecha,FWMF,Wolfsburg,de Bundesliga,10.0,0cc5f4a5
Gianluca Scamacca,FW,Sassuolo,it Serie A,10.0,8790f988
Randal Kolo Muani,FWMF,Nantes,fr Ligue 1,9.9,c0b3669f
João Pedro,FW,Cagliari,it Serie A,9.9,81255c03
Giovanni Simeone,FW,Hellas Verona,it Serie A,9.9,343c0d52
Francesco Caputo,FW,Sampdoria,it Serie A,9.8,5bd72174
Leroy Sané,FWMF,Bayern Munich,de Bundesliga,9.8,2b114be3
Kai Havertz,FWMF,Chelsea,eng Premier League,9.7,fed7cb61
Mario Pašalić,MFFW,Atalanta,it Serie A,9.7,e599253a
Jamie Vardy,FW,Leicester City,eng Premier League,9.5,45963054
Gabriel Jesus,FW,Manchester City,eng Premier League,9.4,b66315ae
Rafael Borré,FW,Eint Frankfurt,de Bundesliga,9.3,c68da769
Teemu Pukki,FW,Norwich City,eng Premier League,9.2,0745b37d
Phil Foden,FW,Manchester City,eng Premier League,9.1,ed1e53f3
Rafael Leão,FW,Milan,it Serie A,9.1,20730eae
Bryan Mbeumo,FW,Brentford,eng Premier League,9.0,6afaebf2
Andrea Pinamonti,FW,Empoli,it Serie A,8.9,08aa9cd1
Breel Embolo,FWMF,M'Gladbach,de Bundesliga,8.8,0b4f388a
Olivier Giroud,FW,Milan,it Serie A,8.8,16ceb862
Ludovic Ajorque,FW,Strasbourg,fr Ligue 1,8.7,462475ed
Habib Diallo,FW,Strasbourg,fr Ligue 1,8.7,6605d143
Burak Yılmaz,FW,Lille,fr Ligue 1,8.7,165a2e40
İlkay Gündoğan,MF,Manchester City,eng Premier League,8.6,819b3158
Alexander Isak,FW,Real Sociedad,es La Liga,8.6,8e92be30
Amine Gouiri,FWMF,Nice,fr Ligue 1,8.5,aad56ca3
Ihlas Bebou,FWDF,Hoffenheim,de Bundesliga,8.4,a53b661f
Denis Bouanga,FWMF,Saint-Étienne,fr Ligue 1,8.4,0b0cbe5b
Serge Gnabry,FWDF,Bayern Munich,de Bundesliga,8.3,88e357ef
Lucas Höler,FWMF,Freiburg,de Bundesliga,8.3,ca618d23
Neymar,FWMF,Paris S-G,fr Ligue 1,8.3,69384e5d
Bruno Fernandes,MF,Manchester Utd,eng Premier League,8.2,507c7bdf
James Maddison,MFFW,Leicester City,eng Premier League,8.2,ee38d9c5
Karim Onisiwo,FW,Mainz 05,de Bundesliga,8.2,f26834c7
Raphinha,FWMF,Leeds United,eng Premier League,8.2,3423f250
Bukayo Saka,FWMF,Arsenal,eng Premier League,8.2,bc7dc64d
Ivan Toney,FW,Brentford,eng Premier League,8.2,e09f279b
Mason Mount,MFFW,Chelsea,eng Premier League,8.1,9674002f
Antonio Sanabria,FW,Torino,it Serie A,8.1,0a447501
Dušan Vlahović,FW,Fiorentina,it Serie A,8.1,79443529
Houssem Aouar,MFFW,Lyon,fr Ligue 1,7.9,a5db0bec
Sepe Elye Wahi,FW,Montpellier,fr Ligue 1,7.9,0d7b6576
Arnaud Kalimuendo,FW,Lens,fr Ligue 1,7.9,bf4c41f9
Richarlison,FWMF,Everton,eng Premier League,7.9,fa031b34
Domenico Berardi,FW,Sassuolo,it Serie A,7.8,53a0e358
Gerard Deulofeu,FWMF,Udinese,it Serie A,7.8,39583cfd
Moussa Diaby,FWMF,Leverkusen,de Bundesliga,7.8,aeed5c06
Jonas Hofmann,MFFW,M'Gladbach,de Bundesliga,7.8,2903a856
Hwang Ui-jo,FW,Bordeaux,fr Ligue 1,7.8,a2d873dd
Ludovic Blas,MFFW,Nantes,fr Ligue 1,7.7,6191093d
Mattia Destro,FW,Genoa,it Serie A,7.7,d7d32194
Seko Fofana,MF,Lens,fr Ligue 1,7.6,5313ed43
Stephy Mavididi,FWMF,Montpellier,fr Ligue 1,7.6,30144daa
Rafa Mir,FW,Sevilla,es La Liga,7.6,bbf5c11b
Sebastian Polter,FW,Bochum,de Bundesliga,7.6,3745e8bd
Timo Werner,FWMF,Chelsea,eng Premier League,7.6,49fe9070
Emmanuel Dennis,FWMF,Watford,eng Premier League,7.5,2c44a35d
Marco Asensio,FWMF,Real Madrid,es La Liga,7.4,45af8a54
Christoph Baumgartner,MFFW,Hoffenheim,de Bundesliga,7.4,437f2b00
Sehrou Guirassy,FW,Rennes,fr Ligue 1,7.4,923f4dda
Wout Weghorst,FW,Wolfsburg,de Bundesliga,7.4,c4e87b8b
Sergej Milinković-Savić,MF,Lazio,it Serie A,7.3,4e6dbac4
Giacomo Raspadori,MFFW,Sassuolo,it Serie A,7.3,6e058f06
Memphis Depay,FW,Barcelona,es La Liga,7.2,8f696594
Thomas Henry,FW,Venezia,it Serie A,7.2,9ef42479
Joshua King,FW,Watford,eng Premier League,7.2,43458538
Álvaro Morata,FW,Juventus,it Serie A,7.2,129af0db
Che Adams,FW,Southampton,eng Premier League,7.1,f2bf1b0f
Pierre-Emerick Aubameyang,FW,Barcelona,es La Liga,7.1,d5dd5f1f
Ante Budimir,FW,Osasuna,es La Liga,7.1,8f3565b3
Nicolás González,FW,Fiorentina,it Serie A,7.1,2374aaca
Santi Mina,FW,Celta Vigo,es La Liga,7.1,0b90bb97
Florian Sotoca,FWMF,Lens,fr Ligue 1,7.1,7a42d0df
Enes Ünal,FW,Getafe,es La Liga,7.1,f8eca1b6
Kevin Volland,MFFW,Monaco,fr Ligue 1,7.1,64f69877
Mohamed Ali Cho,FW,Angers,fr Ligue 1,7.0,f8405304
Armando Broja,FW,Southampton,eng Premier League,7.0,97220da2
Joselu,FW,Alavés,es La Liga,7.0,6265208f
Bamba Dieng,FWMF,Marseille,fr Ligue 1,6.9,40774c6b
Harvey Barnes,FWMF,Leicester City,eng Premier League,6.8,3ea50f67
Ángel Correa,FWMF,Atlético Madrid,es La Liga,6.8,01eb744d
Jesper Lindstrøm,FWMF,Eint Frankfurt,de Bundesliga,6.8,37dc1a48
Arkadiusz Milik,FW,Marseille,fr Ligue 1,6.8,85613cf0
Lorenzo Pellegrini,MFFW,Roma,it Serie A,6.8,4a5a45c7
Bernardo Silva,MFFW,Manchester City,eng Premier League,6.8,3eb22ec9
Luis Suárez,FW,Atlético Madrid,es La Liga,6.8,a6154613
Myron Boadu,FW,Monaco,fr Ligue 1,6.7,5b479568
Paulo Dybala,FWMF,Juventus,it Serie A,6.6,e0921a4f
Davide Frattesi,MF,Sassuolo,it Serie A,6.6,2a7d27c1
Danny Ings,FW,Aston Villa,eng Premier League,6.6,07802f7f
Armand Lauriente,FWMF,Lorient,fr Ligue 1,6.6,2d22cea7
Grischa Prömel,MF,Union Berlin,de Bundesliga,6.6,924f9191
Georginio Rutter,FWMF,Hoffenheim,de Bundesliga,6.6,c64c01fc
Antonín Barák,FWMF,Hellas Verona,it Serie A,6.5,01efac19
Martinelli,FWMF,Arsenal,eng Premier League,6.5,48a5a5d6
Álvaro Negredo,FW,Cádiz,es La Liga,6.5,63b0ca6b
Alexander Sørloth,FW,Real Sociedad,es La Liga,6.5,e92cd3f7
Adrien Thomasson,MF,Strasbourg,fr Ligue 1,6.5,c76b7567
Kevin De Bruyne,MF,Manchester City,eng Premier League,6.4,e46012d4
Sergi Guardiola,FW,Rayo Vallecano,es La Liga,6.4,32974271
Ferrán Torres,FW,Barcelona,es La Liga,6.4,9e1035f8
Matheus Cunha,FW,Atlético Madrid,es La Liga,6.3,dc62b55d
Álvaro García,FW,Rayo Vallecano,es La Liga,6.3,90bbd822
Riyad Mahrez,FW,Manchester City,eng Premier League,6.3,892d5bb1
Leonardo Pavoletti,FW,Cagliari,it Serie A,6.3,d37b0350
Rubén Sobrino,FWMF,Cádiz,es La Liga,6.3,19b776e9
Borja Iglesias,FW,Betis,es La Liga,6.2,75645f0e
Kike,FW,Osasuna,es La Liga,6.2,e897d8ba
Neal Maupay,FW,Brighton,eng Premier League,6.2,4bcf39f6
Yeremi Pino,MFFW,Villarreal,es La Liga,6.2,540ec57b
Odsonne Édouard,FW,Crystal Palace,eng Premier League,6.1,0562b7f1
Zlatan Ibrahimović,FW,Milan,it Serie A,6.1,4cde5509
Raúl Jiménez,FW,Wolves,eng Premier League,6.1,b561db50
Romelu Lukaku,FW,Chelsea,eng Premier League,6.1,5eae500a
Danny Welbeck,FW,Brighton,eng Premier League,6.1,ce5143da
Mohamed Elyounoussi,MFFW,Southampton,eng Premier League,6.0,68dc0dac
Leandro Trossard,FWMF,Brighton,eng Premier League,6.0,38ceb24a
Federico Bonazzoli,FWMF,Salernitana,it Serie A,5.9,bf57eaab
Sofiane Boufal,FWMF,Angers,fr Ligue 1,5.9,b0c71810
Maxwel Cornet,FWMF,Burnley,eng Premier League,5.9,beb391dd
Emmanuel Gyasi,FWDF,Spezia,it Serie A,5.9,f9758dae
Hirving Lozano,FW,Napoli,it Serie A,5.9,a69e4806
Roger Martí,FW,Levante,es La Liga,5.9,0ae4e09a
Alassane Pléa,FWMF,M'Gladbach,de Bundesliga,5.9,bc6bd723
Lucas Alario,FW,Leverkusen,de Bundesliga,5.8,834d0be5
Denzel Dumfries,DF,Inter,it Serie A,5.8,481c9ece
Alberth Elis,FWMF,Bordeaux,fr Ligue 1,5.8,104b4ad3
Jorge de Frutos,MFFW,Levante,es La Liga,5.8,38ce1150
Angelo Fulgini,MFFW,Angers,fr Ligue 1,5.8,4b96c347
Conor Gallagher,MF,Crystal Palace,eng Premier League,5.8,c2731c10
Wahbi Khazri,FWMF,Saint-Étienne,fr Ligue 1,5.8,2677a1de
Luis Muriel,FW,Atalanta,it Serie A,5.8,eb2fe5b6
Emile Smith Rowe,MFFW,Arsenal,eng Premier League,5.8,17695062
Cengiz Ünder,FWMF,Marseille,fr Ligue 1,5.8,1880614f
Mark Uth,MFFW,Köln,de Bundesliga,5.8,a3ddb1b9
Gianluca Caprari,FWMF,Hellas Verona,it Serie A,5.7,54e53b7e
Daniel James,FWMF,Leeds United,eng Premier League,5.7,c931d9f9
Lucas Ocampos,FW,Sevilla,es La Liga,5.7,a08b974a
Alexandre Lacazette,FWMF,Arsenal,eng Premier League,5.6,9dbb75ca
Roland Sallai,MFFW,Freiburg,de Bundesliga,5.6,bf075f6b
Felipe Anderson,FW,Lazio,it Serie A,5.5,9f1893b9
Ángel Di María,FW,Paris S-G,fr Ligue 1,5.5,19cda00b
Wataru Endo,MF,Stuttgart,de Bundesliga,5.5,c149016b
Gerson,MFFW,Marseille,fr Ligue 1,5.5,8827bf46
Jean-Philippe Mateta,FW,Crystal Palace,eng Premier League,5.5,50e6dc35
Jeong Woo-yeong,FWMF,Freiburg,de Bundesliga,5.5,6190474d
Musa Barrow,FWMF,Bologna,it Serie A,5.4,e5bf73f3
Christian Benteke,FW,Crystal Palace,eng Premier League,5.4,ab070c55
Sofiane Diop,MFFW,Monaco,fr Ligue 1,5.4,19053e31
Branimir Hrgota,FW,Greuther Fürth,de Bundesliga,5.4,710fbdd1
Florian Niederlechner,FW,Augsburg,de Bundesliga,5.4,d6862409
Marcus Thuram,FWMF,M'Gladbach,de Bundesliga,5.4,6f8cd6d0
Dušan Vlahović,FW,Juventus,it Serie A,5.4,79443529
Andrea Belotti,FW,Torino,it Serie A,5.3,d705ba44
Benjamin Bourigeaud,FWMF,Rennes,fr Ligue 1,5.3,20e73fac
Jorge Molina,FW,Granada,es La Liga,5.3,43f71e77
Mikel Oyarzabal,FWMF,Real Sociedad,es La Liga,5.3,8c3c640c
Alexis Sánchez,FW,Inter,it Serie A,5.3,2c0f8e9e
Florian Wirtz,MFFW,Leverkusen,de Bundesliga,5.3,e7fcf289
Nicolò Barella,MF,Inter,it Serie A,5.2,6928979a
Raúl García,FW,Athletic Club,es La Liga,5.2,b418dbd4
Maxi Gómez,FW,Valencia,es La Liga,5.2,4c2e9442
Mauro Icardi,FW,Paris S-G,fr Ligue 1,5.2,43b78598
Lorenzo Insigne,FW,Napoli,it Serie A,5.2,2f557579
Anthony Lozano,FWMF,Cádiz,es La Liga,5.2,38699c72
Dimitri Payet,FWMF,Marseille,fr Ligue 1,5.2,58ae47b2
Pedro,FW,Lazio,it Serie A,5.2,3ca7254a
Saïd Benrahma,FWMF,West Ham,eng Premier League,5.1,5a04fd92
Giacomo Bonaventura,MF,Fiorentina,it Serie A,5.1,d995ed27
Jodel Dossou,FW,Clermont Foot,fr Ligue 1,5.1,a1dbfcb1
Youssef En-Nesyri,FW,Sevilla,es La Liga,5.1,04e17fd5
Ademola Lookman,FWMF,Leicester City,eng Premier League,5.1,7c104bb7
Omar Marmoush,FWMF,Stuttgart,de Bundesliga,5.1,0e0102eb
Yussuf Poulsen,FW,RB Leipzig,de Bundesliga,5.1,d2416c2e
Christian Pulisic,MFFW,Chelsea,eng Premier League,5.1,1bf33a9a
Allan Saint-Maximin,FWMF,Newcastle Utd,eng Premier League,5.1,2b16cb1a
Mama Samba Baldé,FWMF,Troyes,fr Ligue 1,5.1,fb14aa28
Boulaye Dia,FW,Villarreal,es La Liga,5.0,244bc2c8
Nabil Fekir,MF,Betis,es La Liga,5.0,bece776f
João Félix,FWMF,Atlético Madrid,es La Liga,5.0,8aafd64f
Roberto Firmino,FW,Liverpool,eng Premier League,5.0,4c370d81
Pablo Fornals,FWMF,West Ham,eng Premier League,5.0,82927de4
Dani Gómez,FW,Levante,es La Liga,5.0,0e5ddc7c
Florent Mollet,FWMF,Montpellier,fr Ligue 1,5.0,7e82a78f
Gerard Moreno,FW,Villarreal,es La Liga,5.0,81f0781e
Elba Rashani,FWMF,Clermont Foot,fr Ligue 1,5.0,25749008
Callum Wilson,FW,Newcastle Utd,eng Premier League,5.0,c596fcb0
Milan Đurić,FW,Salernitana,it Serie A,5.0,405f6586
Lucas Boyé,FW,Elche,es La Liga,4.9,d49f3e6b
Kasper Dolberg,FW,Nice,fr Ligue 1,4.9,cc83b74d
Leon Goretzka,MF,Bayern Munich,de Bundesliga,4.9,cc86b9a3
Gonçalo Guedes,FWMF,Valencia,es La Liga,4.9,e6bc67d7
Arnaud Nordin,FWMF,Saint-Étienne,fr Ligue 1,4.9,7b9a9e25
Javi Puado,FWMF,Espanyol,es La Liga,4.9,2683eda7
Lars Stindl,MFFW,M'Gladbach,de Bundesliga,4.9,7cd6badb
Manu Trigueros,MFFW,Villarreal,es La Liga,4.9,963829d0
Joaquín Correa,FW,Inter,it Serie A,4.8,45b9b619
Jack Grealish,FW,Manchester City,eng Premier League,4.8,b0b4fd3e
Antoine Griezmann,FWMF,Atlético Madrid,es La Liga,4.8,df69b544
Franck Honorat,MFFW,Brest,fr Ligue 1,4.8,db7849ca
Sasa Kalajdzic,FW,Stuttgart,de Bundesliga,4.8,15f24fe7
Daichi Kamada,MFFW,Eint Frankfurt,de Bundesliga,4.8,15b287da
Lovro Majer,MF,Rennes,fr Ligue 1,4.8,fc46aab1
Rey Manaj,FW,Spezia,it Serie A,4.8,7703afb6
David Okereke,FWMF,Venezia,it Serie A,4.8,d125f22f
Ángel Rodríguez,FW,Mallorca,es La Liga,4.8,8cfc2f69
Nicolò Zaniolo,FW,Roma,it Serie A,4.8,9907b1c8
Martin Ødegaard,MF,Arsenal,eng Premier League,4.8,79300479
Sebastian Andersson,FW,Köln,de Bundesliga,4.7,b4cf5806
Julian Brandt,MFFW,Dortmund,de Bundesliga,4.7,a167537f
Josip Brekalo,FWMF,Torino,it Serie A,4.7,d4a2533d
Sergio Canales,FWMF,Betis,es La Liga,4.7,a6de370d
Patrick Cutrone,FW,Empoli,it Serie A,4.7,a4fe8cda
Patson Daka,FW,Leicester City,eng Premier League,4.7,ca45605e
Brahim Díaz,MF,Milan,it Serie A,4.7,407feb71
Hugo Ekitike,FW,Reims,fr Ligue 1,4.7,5b92d896
Ignatius Ganago,FW,Lens,fr Ligue 1,4.7,23c63b7f
Hamed Junior Traorè,FWMF,Sassuolo,it Serie A,4.7,570bb4b9
Gelson Martins,FWMF,Monaco,fr Ligue 1,4.7,3ef0fa48
Riccardo Orsolini,FW,Bologna,it Serie A,4.7,e14ec482
Jay Rodriguez,FW,Burnley,eng Premier League,4.7,4ab53cdb
Yoann Touzghar,FW,Troyes,fr Ligue 1,4.7,4e47507a
Dominic Calvert-Lewin,FW,Everton,eng Premier League,4.6,59e6e5bf
Yannick Carrasco,DFMF,Atlético Madrid,es La Liga,4.6,de39485a
Emil Forsberg,MFFW,RB Leipzig,de Bundesliga,4.6,9a2e0ccc
Michael Gregoritsch,FWMF,Augsburg,de Bundesliga,4.6,8e235926
Jamal Musiala,MFFW,Bayern Munich,de Bundesliga,4.6,2c0558b8
Eddie Nketiah,FW,Arsenal,eng Premier League,4.6,a53649b7
Rodrygo,FW,Real Madrid,es La Liga,4.6,8f5e92a6
Amine Adli,FWMF,Leverkusen,de Bundesliga,4.5,dcfb17f4
Antonio Candreva,MFFW,Sampdoria,it Serie A,4.5,356c9002
Kingsley Coman,FWDF,Bayern Munich,de Bundesliga,4.5,042e8a49
Luis Díaz,FW,Liverpool,eng Premier League,4.5,4a1a9578
Demarai Gray,MFFW,Everton,eng Premier League,4.5,4468ec10
Vincenzo Grifo,MFFW,Freiburg,de Bundesliga,4.5,54e4866f
Frenkie de Jong,MF,Barcelona,es La Liga,4.5,1bacc518
Téji Savanier,MF,Montpellier,fr Ligue 1,4.5,6bde367b
Chris Wood,FW,Burnley,eng Premier League,4.5,4e9a0555
Samuel Chukwueze,MFFW,Villarreal,es La Liga,4.4,b8a642fc
Radamel Falcao,FW,Rayo Vallecano,es La Liga,4.4,66116290
Mason Greenwood,FWMF,Manchester Utd,eng Premier League,4.4,58eee997
Stevan Jovetić,FW,Hertha BSC,de Bundesliga,4.4,f36c432f
Aymeric Laporte,DF,Manchester City,eng Premier League,4.4,119b9a8e
Pere Milla,FWMF,Elche,es La Liga,4.4,335039a2
Florian Neuhaus,MF,M'Gladbach,de Bundesliga,4.4,36a59ba4
Masaya Okugawa,MFFW,Arminia,de Bundesliga,4.4,63b9cc6d
Ivan Perišić,DF,Inter,it Serie A,4.4,6fe90922
Tomáš Souček,MF,West Ham,eng Premier League,4.4,6613c819
Lucas Torreira,MF,Fiorentina,it Serie A,4.4,52611641
Adam Armstrong,FW,Southampton,eng Premier League,4.3,68c720b5
Brais Méndez,MF,Celta Vigo,es La Liga,4.3,c9e39d91
Mikel Merino,MF,Real Sociedad,es La Liga,4.3,d080ed5e
Iker Muniain,MF,Athletic Club,es La Liga,4.3,c05dfb74
Paulinho,FWMF,Leverkusen,de Bundesliga,4.3,53070b63
Sandro Tonali,MF,Milan,it Serie A,4.3,0db169ae
Jonas Wind,FWMF,Wolfsburg,de Bundesliga,4.3,2077ae86
Jude Bellingham,MF,Dortmund,de Bundesliga,4.2,57d88cf9
Valère Germain,FW,Montpellier,fr Ligue 1,4.2,ea0ff634
Alexis Mac Allister,MFFW,Brighton,eng Premier League,4.2,83d074ff
Donyell Malen,FW,Dortmund,de Bundesliga,4.2,864163f3
Marshall Munetsi,MFDF,Reims,fr Ligue 1,4.2,2acf0cd7
João Pedro,FWMF,Watford,eng Premier League,4.2,e8832875
Ignacio Pussetto,FWMF,Udinese,it Serie A,4.2,62437b4f
Daniele Verde,FWMF,Spezia,it Serie A,4.2,d3298c99
Wout Weghorst,FW,Burnley,eng Premier League,4.2,c4e87b8b
Pierre-Emerick Aubameyang,FW,Arsenal,eng Premier League,4.1,d5dd5f1f
Gleison Bremer,DF,Torino,it Serie A,4.1,5fd5ed86
João Cancelo,DF,Manchester City,eng Premier League,4.1,bd6351cd
Kalifa Coulibaly,FW,Nantes,fr Ligue 1,4.1,9980269a
Joelinton,MFFW,Newcastle Utd,eng Premier League,4.1,c17bfb65
Willian José,FW,Betis,es La Liga,4.1,d87e2cae
Moise Kean,FW,Juventus,it Serie A,4.1,3d50bcdb
Jérémy Le Douaron,FW,Brest,fr Ligue 1,4.1,88c4d190
Jamie Leweling,FWDF,Greuther Fürth,de Bundesliga,4.1,13fe7b69
Nahuel Molina,DF,Udinese,it Serie A,4.1,23610943
Fernando Niño,FW,Mallorca,es La Liga,4.1,81d5c497
Rodrigo,MFFW,Leeds United,eng Premier League,4.1,1fb1c435
Dominik Szoboszlai,MFFW,RB Leipzig,de Bundesliga,4.1,934e1968
Ruben Vargas,MFFW,Augsburg,de Bundesliga,4.1,6ecbddf6
Szymon Żurkowski,MF,Empoli,it Serie A,4.1,4e1d5e59
Santi Comesaña,MF,Rayo Vallecano,es La Liga,4.0,5ae499d0
Jack Harrison,FWMF,Leeds United,eng Premier League,4.0,aa849a12
Hwang Hee-chan,FWMF,Wolves,eng Premier League,4.0,169fd162
Gerrit Holtmann,FWMF,Bochum,de Bundesliga,4.0,2979c05a
Gavi Paez,MFFW,Barcelona,es La Liga,4.0,19cae58d
Miloš Pantović,MFFW,Bochum,de Bundesliga,4.0,5dc15574
Eldor Shomurodov,FWMF,Roma,it Serie A,4.0,57469b2d
Moses Simon,FWMF,Nantes,fr Ligue 1,4.0,5f3eaaf5
Timothy Weah,MFFW,Lille,fr Ligue 1,4.0,8eec784d
Wilfried Zaha,FW,Crystal Palace,eng Premier League,4.0,b2bc3b1f
Mattia Aramu,MFFW,Venezia,it Serie A,3.9,0847b5a5
Nedim Bajrami,MFFW,Empoli,it Serie A,3.9,f42d6c13
Patrick Bamford,FW,Leeds United,eng Premier League,3.9,93feac6e
Álex Berenguer,MFFW,Athletic Club,es La Liga,3.9,dc1c2fce
Hakan Çalhanoğlu,MF,Inter,it Serie A,3.9,cd0fa27b
Grégoire Defrel,FW,Sassuolo,it Serie A,3.9,854ee61a
Manolo Gabbiadini,FWMF,Sampdoria,it Serie A,3.9,8f866fe8
Wesley Saïd,FWMF,Lens,fr Ligue 1,3.9,90fcf472
Nico Schlotterbeck,DF,Freiburg,de Bundesliga,3.9,34e12499
Iyenoma Udogie,DF,Udinese,it Serie A,3.9,7cd520e8
Stéphane Bahoken,FW,Angers,fr Ligue 1,3.8,5046b7d4
Hugo Duro,FWMF,Valencia,es La Liga,3.8,37e103f8
Caleb Ekuban,FWMF,Genoa,it Serie A,3.8,7afbd2c3
Dries Mertens,FWMF,Napoli,it Serie A,3.8,89b2c8a9
Henrikh Mkhitaryan,MFFW,Roma,it Serie A,3.8,dd0daf32
Tommaso Pobega,MF,Torino,it Serie A,3.8,55a1cac2
Jacob Ramsey,MF,Aston Villa,eng Premier League,3.8,1544f145
Paco Alcácer,FW,Villarreal,es La Liga,3.7,a7a9d95a
Arthur,FW,Fiorentina,it Serie A,3.7,a820e429
Jordan Ayew,FW,Crystal Palace,eng Premier League,3.7,da052c14
Philippe Coutinho,MFFW,Aston Villa,eng Premier League,3.7,0ef89a37
Moanes Dabbur,FWMF,Hoffenheim,de Bundesliga,3.7,eac044ad
Luuk de Jong,FW,Barcelona,es La Liga,3.7,abb3bb95
Ruslan Malinovskyi,FWMF,Atalanta,it Serie A,3.7,48d5bd33
Sekou Mara,FW,Bordeaux,fr Ligue 1,3.7,3544641e
Lucas Moura,FWMF,Tottenham,eng Premier League,3.7,2b622f01
Vedat Muriqi,FW,Mallorca,es La Liga,3.7,0cadc46d
Randy Ntekja,FWMF,Rayo Vallecano,es La Liga,3.7,a6103274
Amir Rrahmani,DF,Napoli,it Serie A,3.7,4b3e1a38
Tiago Tomás,FW,Stuttgart,de Bundesliga,3.7,b492126a
Yoane Wissa,FWMF,Brentford,eng Premier League,3.7,2500cef9
Mattéo Guendouzi,MF,Marseille,fr Ligue 1,3.6,5ea8ef20
Max Kruse,FWMF,Wolfsburg,de Bundesliga,3.6,f9446dcd
Darko Lazović,DF,Hellas Verona,it Serie A,3.6,5128bde4
Junior Messias,FWMF,Milan,it Serie A,3.6,f49c4ae9
Antonio Puertas,MFFW,Granada,es La Liga,3.6,c77a8043
Renaud Ripart,FWDF,Troyes,fr Ligue 1,3.6,beae3a73
Ismaël Traoré,DF,Angers,fr Ligue 1,3.6,b666421b
Joe Willock,MF,Newcastle Utd,eng Premier League,3.6,a3b03921
Patrick Wimmer,FWMF,Arminia,de Bundesliga,3.6,cb11b429
Luis Alberto,MF,Lazio,it Serie A,3.5,5294a83f
Takuma Asano,FWMF,Bochum,de Bundesliga,3.5,13ddc856
Ermedin Demirović,FWMF,Freiburg,de Bundesliga,3.5,ed79b7d3
Ondrej Duda,MF,Köln,de Bundesliga,3.5,79ca3e23
Chris Führich,MFFW,Stuttgart,de Bundesliga,3.5,0cf778df
André Hahn,MFFW,Augsburg,de Bundesliga,3.5,cd82452e
Florian Kainz,MFFW,Köln,de Bundesliga,3.5,94c18565
Fabian Klos,FW,Arminia,de Bundesliga,3.5,e21042ae
Kevin Lasagna,FWMF,Hellas Verona,it Serie A,3.5,09538fdb
Maranhão,FWMF,Valencia,es La Liga,3.5,ae86d473
Remi Oudin,MFFW,Bordeaux,fr Ligue 1,3.5,ea02beaf
Fabio Quagliarella,FW,Sampdoria,it Serie A,3.5,ee4f2f3b
Ismaila Sarr,FWMF,Watford,eng Premier League,3.5,bfdb33aa
Roberto Soldado,FW,Levante,es La Liga,3.5,9d66fbe3
Ike Ugbo,FW,Troyes,fr Ligue 1,3.5,8a53d24b
Mattia Zaccagni,FW,Lazio,it Serie A,3.5,d85c238b
Jim Allevinah,FW,Clermont Foot,fr Ligue 1,3.4,1956b948
Ezequiel Ávila,FWMF,Osasuna,es La Liga,3.4,253a06b9
Ishak Belfodil,FW,Hertha BSC,de Bundesliga,3.4,ff182fdc
Irvin Cardona,FWMF,Brest,fr Ligue 1,3.4,5e080f73
Edinson Cavani,FW,Manchester Utd,eng Premier League,3.4,527f063d
Thiago Galhardo,FWMF,Celta Vigo,es La Liga,3.4,766f48dd
Anthony Gordon,MFFW,Everton,eng Premier League,3.4,2bd83368
Kelechi Iheanacho,FW,Leicester City,eng Premier League,3.4,c92e1a31
Lee Jae-sung,MFFW,Mainz 05,de Bundesliga,3.4,34b0387f
Dejan Kulusevski,MFFW,Tottenham,eng Premier League,3.4,df3cda47
Thomas Lemar,MF,Atlético Madrid,es La Liga,3.4,4dbd0916
Marquinhos,DF,Paris S-G,fr Ligue 1,3.4,d5f2f82b
Ibrahima Niane,FW,Metz,fr Ligue 1,3.4,46faabfa
Nolito,MF,Celta Vigo,es La Liga,3.4,b2d0ec1b
